,IQ_ACCT_RECV_1YR_ANN_GROWTH_CS,IQ_AR_TURNS_CS,IQ_BV_SHARE_CS,IQ_CURRENT_RATIO_CS,IQ_DILUT_EPS_EXCL_CS,IQ_EARNING_CO_MARGIN_CS,IQ_EBITDA_1YR_ANN_GROWTH_CS,IQ_EBITDA_CS,IQ_EBITDA_MARGIN_CS,IQ_EPS_1YR_ANN_GROWTH_CS,IQ_EPS_NORM_CS,IQ_GP,IQ_LFCF_MARGIN_CS,IQ_NI_1YR_ANN_GROWTH_CS,IQ_NI_MARGIN_CS,IQ_NI_NORM_MARGIN_CS,IQ_QUICK_RATIO_CS,IQ_RETURN_ASSETS_CS,IQ_RETURN_CAPITAL_CS,IQ_RETURN_COMMON_EQUITY_CS,IQ_RETURN_EQUITY_CS,IQ_TOTAL_DEBT_CAPITAL_CS,IQ_TOTAL_DEBT_EBITDA_CS,IQ_TOTAL_DEBT_EQUITY_CS
DBRG,-5.91208,1.23533,34.57764,3.54898,-13.52,-75.11253,0.0,0.0,0.0,0.6132175,-8.04,39.538,19.43826,0.6132175,-47.72398,-43.86372,3.51531,-0.42525,-0.45505,-30.80669,-16.43458,50.64285,0.6132175,102.67509
DDS,28.67087,143.45412,63.70051,1.89659,6.23,2.61808,-2.14757,492.003,7.56538,-17.04394,6.12,2211.829,2.66423,-23.0707,2.61808,2.57021,0.18695,4.7186,7.155,10.05529,10.05529,25.30005,1.15538,33.86889
DIN,0.0,46.540535,-14.63346,0.96928,5.85,11.46435,21.58388,250.909,27.56703,33.86728,5.61,382.449,14.2088,29.85788,11.46435,10.43749,0.82044,6.81242,9.15986,46.540535,46.540535,115.04451,7.36854,46.540535
DFS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.98645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DLB,249.78932,5.71563,23.04102,4.50229,2.44,20.57836,-0.54538,378.758,30.50515,114.03509,2.6,1080.766,2.03997,108.7193,20.54985,21.2815,4.27008,6.69664,8.13998,11.34786,11.33274,0.0,0.0,0.0
DG,0.0,462.95685,24.72879,1.54617,5.97,6.20281,6.86916,2604.24,10.16287,6.03908,6.09,7803.87,4.07012,3.28222,6.20281,6.30162,0.09725,10.4492,14.59574,25.34403,25.34403,30.86258,1.10001,44.63947
D,30.24586,8.23044,35.33055,0.61254,1.62,8.30316,32.45544,8248.0,49.7707,-56.68449,4.67,6426.0,9.15324,-44.50347,8.19455,22.79204,0.29319,3.84691,5.39224,5.46325,4.90719,53.01321,4.65543,112.82579
DCI,1.36551,5.29754,6.96916,2.32471,2.05,9.37084,0.97046,468.2,16.42,50.73529,2.24,948.3,5.63057,48.19745,9.37084,10.07898,1.49037,11.97745,16.77975,30.70735,30.35501,41.36027,1.35989,71.32295
DFIN,-6.65124,5.23302,7.8538,1.1766,1.1,4.29862,-12.80992,126.6,14.47353,-49.07407,1.23,332.3,3.2797,-48.91304,4.29862,4.79513,0.99499,5.48246,7.8011,15.20421,15.20421,58.36304,2.97393,140.17126
LPG,68.42047,4.39425,16.5437,1.04062,-0.93,-31.73949,-2.75983,67.262,41.90439,14.956259,-0.75,88.92601,13.80823,14.956259,-31.73949,-25.4713,0.9737,0.07664,0.07743,-5.44267,-5.44267,43.26834,10.34892,76.26843
